Names,Rent identity
Loft and Row,"['$1,448 - $7,850']"
Loft on Louise,"['$1,045 ']"
Lofts at Mockingbird Station Apartments,"['$1,230 - $3,120' '$1,300 - $4,895' '$2,217 - $5,285']"
London Park,"['$1,144 - $1,863']"
London Square Apartments,"['$935 - $1,075']"
Lone Star Apartments,"['$900 - $1,150']"
Longhorn Cove Townhomes,"['$1,835 - $1,955']"
Los Altos Trinity Green,"['$1,267 - $5,797']"
Lucia Apartments,"['$1,286 - $1,589']"
Luna Blanca,"['$959 - $1,279']"
Luxe at Mercer Crossing,"['$1,547 - $4,895']"
Luxia Gallery House North,"['$1,304 - $3,229']"
Luxia Gallery House South,"['$1,304 - $3,264' '$2,301 - $6,852' '$1,304 - $3,264']"
Luxia Midtown Park,"['$1,318 - $5,162']"
Luxia Swiss Ave,"['$1,421 - $3,865']"
MAA Addison Circle,"['$1,110 - $4,465']"
MAA Bella Casita,"['$1,543 - $3,813']"
MAA Gallery,"['$3,415 - $4,875']"
MAA Heights,"['$1,520 - $4,455']"
MAA Highlands North,"['$1,143 - $4,323']"
MAA Katy Trail,"['$1,745 - $4,450']"
MAA Las Colinas,"['$1,423 - $4,408']"
MAA Market Center,"['$1,403 - $5,198']"
MAA McKinney Avenue,"['$1,400 - $4,910']"
MAA McKinney Avenue II,"['$1,285 - $3,845']"
MAA Medical District,"['$1,388 - $3,500']"
MAA Meridian,"['$1,840 - $6,248']"
MAA North Hall,"['$1,438 - $4,280']"
MAA Uptown Village,"['?' '$1,418 - $3,845']"
MAA Worthington,"['$1,615 - $4,455']"
MACK PARK,"['$910 - $1,400']"
MacArthur Ridge Apartments,"['$1,294 - $3,180']"
Macallan on Ross,"['$1,240 - $2,195']"
Maddox,"['$1,555 - $2,290']"
Maderas Apartments,"['$900 - $1,400']"
Magnolia Gardens - NO AVAILABILITY,"['$1,300 - $1,500']"
Magnolia Trace Apartments,['Call for Rent']
Main 3 Downtown,"['$1,387 - $2,954']"
Majestic Parc Apartments,"['$1,308 - $1,899']"
Manchester House,"['$775 - $1,450']"
Manchester State Thomas,"['$1,200 - $1,500' '$1,943 - $4,499']"
Manor House Apartments,"['$1,225 - $2,950']"
Manor Oaks,"['$1,195 ']"
Maple District Lofts,"['$1,336 - $2,436' '$1,231 - $2,798' '$2,120' '$1,336 - $2,436']"
Maple at Med Center,"['$1,231 - $2,798' '$1,440 - $3,317' '$1,440 - $3,317' '$1,231 - $2,791']"
Marbella,"['$895 - $1,150']"
Marquis at Texas Street,"['$900 - $1,375' 'Call for Rent']"
Marquis of State Thomas,['Call for Rent']
Marquis on Gaston,['Call for Rent']
Maverick Oak Lawn,"['$923 - $1,643']"
McCallum Communities,"['$850 - $1,250']"
McCallum Highlands,"['$1,050 - $2,000']"
McKinney Uptown,"['$2,049 - $3,803']"
Meadow Parc,"['$1,260 - $2,040']"
Meadowcrest Apartments,"['$990 - $2,240']"
Meadows Crossing Apartments,"['$1,050 - $1,500']"
Melody Parc Residences,"['$775 - $1,400']"
Melville,"['?' '$1,140 - $2,090']"
Mercer 1900,"['$1,500 - $3,355']"
Metropolitan at Cityplace,"['$1,285 - $2,110']"
Midpark Towers,"['$1,001 - $1,240']"
Midway Urban Village,"['$1,400 - $3,850']"
Mill House,"['$969 - $1,573']"
Millennium Dallas,"['$1,150 - $1,735']"
Millennium Place Apartments,"['$1,449 - $2,034']"
Miro,"['$1,717 - $4,316']"
Mission Fairways,"['$1,349 - $1,984']"
Mitchell Lofts,"['$1,617 - $3,861']"
Mockingbird Flats,"['$1,172 - $2,431' '$1,770 - $3,865' '$1,305 - $4,880']"
Moda Apartments,"['$1,638 - $3,189']"
Modena,"['$1,409 - $2,764']"
Modera Katy Trail,"['$1,999 - $6,124']"
Mondrian West Village,"['$1,970 - $6,524']"
Monterra Las Colinas Apartments,['Call for Rent']
Mosaic Dallas,"['$1,602 - $5,297']"
Mount Vernon,"['$1,170 - $3,880']"
Mountain Creek Apartments,"['$875 - $1,707']"
Muse,"['$790 - $2,307']"
Muse at Midtown,"['$1,125 - $2,835']"
Nantucket Island Apartments,['?']
Neo At Midtown,"['$1,260 - $2,480']"
Noel on the Parkway,"['$1,123 - $2,474']"
Nolen Grand Apartments,"['$1,076 ']"
North Creek Dallas,"['$800 - $1,699']"
North Star,"['$895 - $1,580']"
Novel Turtle Creek,"['$2,925 - $16,850' '$2,925 - $16,850']"
Nuvo Andorra,"['$1,099 - $1,300']"
Nuvo Gaston 5402,"['$1,495 - $1,795']"
Nuvo Park Place,"['$999 - $1,550']"
Oak Glen Apartments,"['$1,065 - $1,851']"
Oak Meadows Apartments,"['$980 - $3,713']"
Oaks Trinity,"['$1,199 - $2,731']"
Oaks White Rock,"['?' '$1,170 - $2,860']"
Oaks at Duck Creek,"['$1,030 - $3,181']"
Oaks at North Dallas,"['$1,314 - $1,839']"
Oaks of Denton,"['$735 - $1,620']"
Oakwood Creek,"['$1,325 - $1,575']"
Oasis,"['$684 - $3,029']"
Old Shepard Place,['Call for Rent']
One Dallas Center,"['$2,217 - $5,285' '$1,425 - $5,965']"
One Uptown,"['$2,224 - $6,949']"
Orchards Market Plaza 55+ Active Senior Li...,"['$1,750 - $2,663' '$1,750 - $2,663']"
Overton Park Apartments,"['$950 - $1,560']"
Paces Cove,"['$1,428 - $3,464']"
Paces Crossing,"['$1,086 - $2,076']"
Pacifica,"['$1,021 - $1,312']"
Paragon Apartments,"['$1,050 - $1,250']"
Parc at White Rock,"['$1,295 - $3,199']"
Parea Oak Lawn,"['$1,095 - $1,745']"
Park 5940 MD,"['$1,460 - $3,743']"
Park Fountains,"['$1,684 - $2,460']"
Park Hill,"['$1,355 - $2,590']"
Park Lane,"['$1,273 - $1,830']"
Park Place,"['$1,250 ']"
Park West,"['$905 - $1,575' '$1,509 - $2,571']"
Park at Bayside,"['$1,351 - $4,839']"
Park on Greenville,"['$1,114 - $2,310']"
Parkford Oaks Apartments,"['$975 - $1,405']"
Parks at Walnut,"['$940 - $1,575']"
Parmore Arcadia Trails,"['$867 - $1,474']"
Paseo,"['$1,170 - $2,555' '$3,275 - $3,800']"
Pavilion Townplace,"['$1,399 - $4,370' '$2,104 - $6,911']"
Paxton at Lake Highlands,"['$1,210 - $2,080']"
Pear Ridge,"['$1,185 - $1,665']"
Pecan Creek on McKinney Apartments,"['$1,159 - $1,477']"
Pecan Grove Apartments,"['$725 - $1,195']"
Pecan Square,"['$945 - $1,675']"
Pegasus Villas 62+ Apartments,"['$961 - $1,350']"
Pike West Commerce,"['$1,378 - $2,235']"
Pinnacle Ridge,"['$892 - $2,188']"
Plum Meadow,"['$899 - $1,199' '$799 - $1,449']"
Prairie Commons,"['$1,048 - $1,560']"
Prairie Crossing,"['$1,495 - $3,995']"
Prairie Gate Community,"['$1,500 - $2,525' '$1,500 - $2,525']"
Prairie Hollow Apartments,['$780 - $950']
Preserve at Pecan Creek,"['$1,209 - $2,149']"
Preston Bend,"['$1,499 - $6,685' '$1,251 - $1,949']"
Preston Creek,"['$1,431 - $3,742']"
Preston Heights Apartments,"['$2,073 - $2,869' '$799 - $1,449' '$2,073 - $2,869']"
Preston Hollow Village,"['$1,709 - $7,763']"
Preston Pointe,"['$1,144 - $1,770']"
Preston Valley,"['$967 - $1,126']"
Preston Villas,"['$1,032 - $1,833']"
Prestonwood Trails,"['$1,145 - $1,815']"
Prime at Lake Highlands,"['$1,039 - $1,815']"
Princeton Court,"['$1,550 - $2,560' '$900 - $1,375']"
Promenade at Las Colinas,"['$1,383 - $3,882']"
Quincy Court,"['$1,249 - $1,649']"
Rancho Palisades,"['$1,315 - $1,855']"
Redbird Trails Apartments,"['$1,099 - $2,433' '$967 - $1,126']"
Reese Court Villas,['Call for Rent']
Regal Court Apartments,"['$1,105 - $1,800']"
Regal Crossing,"['$1,063 - $1,230' '$900 - $1,055']"
Renaissance at Preston Hollow,"['$2,021 - $21,880']"
"Rent to Own Updated Home with $15,000 Down...","['$2,450 ']"
Reserve at White Rock,"['$1,299 - $2,594']"
Residence at Lake Highlands,"['$897 - $2,183']"
Residences at The Grove,"['$1,820 - $12,618']"
Residences at The Union,['Call for Rent']
Retreat at Lake Highlands,"['$1,020 - $1,525']"
Reveal at Bayside,"['$1,338 - $3,556']"
Reveal on the Lake,"['$1,369 - $4,458']"
Richland Park,"['$1,400 - $2,601']"
Richland Village Apartments,['?']
Richmond,"['$1,205 - $2,490']"
Ridge Parc,"['$980 - $1,940']"
Ridgecrest,"['$1,100 - $1,609']"
Rienzi at Turtle Creek,"['$2,485 - $4,776']"
Rio Estates Apartments,"['$916 - $1,191']"
River Park,"['$1,130 - $1,575']"
Riverfalls @ Bellmar,"['$1,432 - $2,434' '$1,025 - $1,490']"
Riverside Park,"['$1,455 - $2,712']"
Riverstation,"['$1,251 - $1,599']"
Riviera Apartments,['?']
Riviera at West Village,"['$1,693 - $10,971']"
Robson Ranch Home Adult Living,"['$3,000 ']"
Rock Creek,"['$1,016 - $1,969']"
Rockwall Commons,"['$1,440 - $1,823']"
Rosemont at Lakewest,"['$895 - $1,515']"
Rosemont at Meadow Lane,"['$1,104 - $1,699' 'Call for Rent']"
Rosemont at Mission Trails,['?']
Ross + Peak,"['$1,367 - $4,351']"
SKYE of Turtle Creek,"['?' '$1,787 - $4,078']"
STARDUST,"['$1,007 - $1,835']"
SYNC at West Dallas,"['$1,280 - $2,500']"
Sage Hill at Cypress Waters,"['$1,720 - $20,986']"
Santa Fe Apartments,['?']
Santa Fe Trails Apartments,"['$839 - $1,479']"
Savoye,"['$1,226 - $2,138']"
Sedona Ridge,"['?' '$875 - $1,400']"
Sequoia Park Apartments,['Call for Rent']
Seville @ Bellmar,"['$1,768 - $3,093']"
Seville Uptown,"['$1,336 - $2,436' '$1,532 - $2,696']"
Shoreview Flats,"['$1,430 - $4,136']"
Signature at Southern Oaks,"['$957 - $1,645']"
Silver Creek,"['$800 - $1,527' '$1,073 - $1,815']"
SkyHouse Dallas Apartments,"['$1,145 - $2,885' '$1,770 - $3,875']"
Skye Isle Apartments,"['$950 - $1,730']"
Skyline Farmers Market,"['$1,445 - $2,965']"
Skyline Place Apartments,"['$885 - $1,170']"
Skyline Trinity,"['$1,264 - $2,734']"
Skyline at Kessler,"['$900 - $2,025']"
Slate Apartments,"['$1,010 - $1,935']"
Slate At Cole,"['$1,709 - $2,977']"
Sloane Street,"['$1,366 - $6,661']"
Soho,"['$1,135 - $1,320']"
Solaire Apartments,"['$1,403 - $1,671']"
Solarium Apartments,"['$1,200 ']"
Sonterra at Buckingham,"['$1,209 - $2,089']"
South Side Flats,"['$1,180 - $2,990']"
"Spacious 4 Bedroom Home in Denton, TX!!","['$2,165 ']"
Spring Creek Apartments,"['$1,320 - $2,135']"
Spring Hollow Apartments,"['?' '$925 - $1,250']"
Spring Parc,"['$939 - $2,023']"
Square9 Apartment Homes,"['$1,074 - $1,742']"
St Croix Apartments,"['$1,120 - $1,230']"
St. Augustine Estate,"['$1,257 ']"
St. James,"['$1,835 - $4,010' '$1,835 - $4,010' '$1,835 - $4,010']"
St. Marin,"['$1,365 - $7,151']"
St. Moritz Apartments,"['$998 - $2,082' '$1,499 - $6,685']"
Starlite,['$625 - $705']
State Thomas Ravello,"['$1,852 - $9,805']"
Stella Apartments,"['$1,720 - $3,295']"
Strata Apartments,"['$1,099 - $1,879' '$1,725 - $3,100']"
Struga Place,"['$1,095 ']"
Summer Hill Apartments,"['$889 - $1,499']"
Summerwood Cove,"['$1,010 - $2,265']"
Sunstone Village a 55+ Active Adult Cottages,"['$1,500 - $2,225']"
Sutton Place,"['$1,025 - $2,678']"
Sweetwater at Buckingham,"['$1,152 - $2,215']"
Swiss Court (old),"['$800 - $1,600']"
Sylvan Thirty,"['$1,357 - $2,671']"
THE ARTS,"['$925 - $1,515' '$1,428 - $3,464']"
THIRTY377,"['$1,231 - $2,798' '$1,881 - $3,368']"
TRELLIS NORTH DALLAS,"['$1,600 - $1,800']"
Taylor Lofts,"['$1,316 - $3,136']"
Tenison at White Rock,"['$1,284 - $1,904']"
Terra Lago,"['$1,270 - $2,327']"
Tesoro at 12,"['$1,035 - $1,395']"
The Alexan,"['$1,655 - $6,303']"
The Alista,"['$903 - $1,779']"
The Alona,"['$1,321 - $4,428']"
The Anderson,['Call for Rent']
The Annex,"['$955 - $1,615']"
The Antero,"['$1,150 - $1,850']"
The Arches at Park Cities,"['$1,253 - $6,419']"
The Argyle,"['$1,441 - $2,701' '$1,726 - $3,651']"
The Arts Apartments at Broadway Commons,"['$1,150 - $2,427']"
The Ashley at Bluffview,"['$1,415 - $1,925']"
The Ashton,['?']
The Atlantic Highland Park,"['$1,227 - $4,095']"
The Austin at Trinity Green,"['$1,280 - $2,480' '$2,073 - $2,869' '$1,280 - $2,480']"
The Avery on Southwestern,"['$1,035 - $1,930' '$1,362 - $2,779']"
The Ayva at Oaklawn,"['$1,030 - $1,680']"
The Azul,"['$838 - $1,514']"
The Beckham,"['$656 - $1,550']"
The Beckley on Trinity | BRAND-NEW LUXURY ...,"['$1,275 - $2,915']"
The Biltmore,"['$915 - $1,550']"
The Blake,"['$695 - $1,665' '$695 - $1,665']"
The Blvd,"['$1,490 - $2,200']"
The Booker,"['$1,135 - $1,760']"
The Boxtree Apartments,"['$1,355 - $2,653']"
The Brazos,"['$731 - $1,988' '$1,352 - $2,653']"
The Briscoe,"['$1,509 - $2,945' '$1,366 - $1,520' '$1,836 - $4,592' '$1,509 - $2,945']"
The Brixton Apartments,"['$1,330 - $2,805']"
The Brooklyn @9590,"['$960 - $1,996' '$960 - $1,996']"
The Brookmoore,"['$950 - $1,300']"
The Caleb,"['$715 - $3,477']"
The Callie,"['$1,131 - $2,449']"
The Canal,"['$1,395 - $2,400']"
The Caruth Premier Townhome Apartments,"['$1,856 - $8,385']"
The Case Building,"['$1,570 - $3,737' '$1,712 - $3,341' '$1,570 - $3,737']"
The Cayman Las Colinas,"['$1,642 - $2,904']"
The Cluster Apartments,"['$700 - $1,200']"
The Colony House,"['$1,189 - $1,699']"
The Courts at Preston Oaks,"['$1,239 - $3,299']"
The Crosby,"['$1,492 - $2,878']"
The Crosby at the Brickyard Apartment Homes,"['$1,450 - $3,850']"
The Crossing Apartments,['$850 - $900']
The Declan,"['$937 - $1,800']"
The Dominion Apartments,"['$900 - $1,100']"
The Doral & Monfort Valley,"['$945 - $1,505']"
The Dorchester Apartments,"['$1,180 - $2,210']"
The Drake at White Rock,"['$2,064 - $12,235']"
The Drakestone,"['$1,671 - $15,102']"
The Dylan,"['$1,615 - $3,718']"
The Edge,"['$820 - $1,615']"
The Edison,"['$760 - $3,130']"
The Ellington Apartments,"['$1,570 - $3,015']"
The Estara Apartments,"['$955 - $1,475']"
The Everly,"['$661 - $2,227']"
The Finley,"['$955 - $1,671']"
The Fitz Apartments,"['$1,503 - $3,339']"
The Flamingo,"['$1,650 - $1,700']"
The Flats,"['$1,349 ']"
The Flats at Cypress Waters,"['$1,895 - $2,636']"
The Fountains Apartments,"['$1,449 - $2,125']"
The Gabriella,['Call for Rent']
The Galbraith,"['$1,300 - $2,500']"
The Gannett,"['$1,300 - $1,800']"
The Gentry on M Streets,"['$1,515 - $2,850']"
The Georgian,"['$1,135 - $1,695']"
The Glen at Highpoint,"['$959 - $1,502']"
The Granada,"['$790 - $1,090']"
The Greens of Hickory Trails,"['$699 - $1,505' '$1,395 - $1,845']"
The Hamilton,"['$1,826 - $5,137' '$1,354 - $2,048' '$1,826 - $4,915']"
The Hampton on Jupiter,"['$1,007 - $1,835' '$1,233 - $2,637' '$1,850 - $14,855' '$1,010 - $1,835']"
The Hamptons,"['$1,012 - $2,150']"
The Hamptons on Swiss,"['$1,445 - $6,500']"
The Harlowe,"['$1,095 - $1,525']"
The Heights at Park Lane,"['$1,463 - $8,055']"
The Henderson,"['$1,683 - $4,167']"
The Herschel,"['$1,140 - $2,090' '$1,970 - $3,250']"
The Hive Apartments,"['$970 - $1,350']"
The Holden,"['$1,285 - $2,045']"
The Jordan by Windsor,"['$1,305 - $4,880' '$1,200 - $2,405']"
The Kendrick,"['$1,115 - $2,455']"
The Kirby,"['$1,305 - $4,710']"
The Kontour at Kessler Park,"['$1,460 - $3,035' '$1,978 - $4,175' '$1,460 - $3,035']"
The Lake Lofts LP,"['$1,025 - $1,575']"
The Lana,"['$1,270 - $2,850']"
The Langford by ARIUM,"['$1,235 - $2,943']"
The Lex,"['?' '$1,099 - $1,879']"
The Life at Stone Crest,['Call for Rent']
The Link,"['$978 - $5,071']"
The Lodge at Pecan Creek,"['$1,628 - $2,150']"
The Lookout,"['$1,387 - $3,727']"
The Loop,"['$1,050 - $1,650']"
The Loren Apartments,"['$1,120 - $2,620']"
The Lucas Apartments,"['$1,355 - $2,355']"
The Luxe at Rowlett 55+,"['$1,536 - $2,000']"
The Lyndon,"['$1,097 - $2,216']"
The Mansions at Mercer Crossing,"['$1,607 - $5,838']"
The Marion,"['$771 - $2,151']"
The Mark At Denton,"['$1,425 - $2,625']"
The Mayflower Apartments,"['$1,355 - $3,320']"
The Merc,"['$1,455 - $2,372']"
The Monet Apartments,"['$989 - $1,699']"
The Monroe,"['$1,313 - $1,643']"
The Monterey by Windsor,"['$1,835 - $7,100']"
The Nash,['Call for Rent']
The National Residences,"['$2,505 - $7,950' '$2,505 - $7,950']"
The Oaks,"['$985 - $1,120']"
The Oaks at Valley Ranch,"['$1,280 - $2,281']"
The Park on Preston,"['Call for Rent' '$1,089 - $1,623']"
The Pavilions,"['$1,166 - $5,241']"
The Pearl On Frankford,"['$875 - $1,400' '$1,277 - $2,806']"
The Pearl on University,['$925 ']
The Premier at Prestonwood,"['$1,489 - $1,999']"
The Quarter,['$655 ']
The Regent,"['$1,170 - $1,870']"
The Republic West Apartments,"['$1,005 - $1,810']"
The Reserve at Lake Highlands,"['$1,073 - $1,815' '$1,069 - $1,350']"
The Residences Of North Dallas - Phase 1,"['$2,104 - $6,911' '$967 - $1,701']"
The Retreat,"['$1,495 - $2,460']"
The Retreat @ 3737,"['$970 - $1,660' '$1,180 - $1,525']"
The Ridge on Spring Valley,"['$1,256 - $1,955']"
The Sanford,"['$1,224 - $1,494']"
The Sawyer,"['$1,705 - $4,175']"
The Saxony Apartments,"['$1,145 - $2,885' '$2,120' '$1,175 - $2,885']"
The Shasta,"['$1,486 - $1,810']"
The Shelton,['?']
The Sophia Apartments,"['$1,110 - $2,845']"
The Southwestern,"['$1,530 - $2,355' '$1,233 - $2,637']"
The Standard,"['$1,943 - $4,679' '$1,550 - $2,560']"
The Statler Residences,"['$1,866 - $5,723' '$1,513 - $2,740' '$2,217 - $5,285' '$1,866 - $5,723']"
The Taylor,"['$1,724 - $5,394' '$1,831 - $6,168']"
The Timbers,"['$1,055 - $1,902']"
The Towers at Mercer Crossing,"['$1,566 - $5,185']"
The Trails of Valley Ranch,"['$1,374 - $2,060']"
The Trellis at Lake Highlands,"['$1,190 - $2,130']"
The Venue,"['$709 - $2,157']"
The Versailles Apartments,"['$913 - $2,084']"
The Viceroy,['?']
The Victor,"['$2,130 - $16,543']"
The Village Bend,"['$1,335 - $2,615']"
The Village Chase,"['$1,570 - $2,820']"
The Village Corners,"['$1,190 - $2,350']"
The Village Dakota,"['$1,830 - $5,325']"
The Village Dallas,"['$932 - $1,450' '$1,445 - $6,500']"
The Village Drey,"['$1,675 - $6,964']"
The Village Green,"['$1,435 - $2,173']"
The Village Hill,"['$1,400 - $3,630']"
The Village Lakes,"['$1,380 - $3,260']"
The Village Northbridge,"['$1,830 - $4,750']"
The Village Park,"['$1,295 - $3,090']"
The Village Residences,"['$850 - $1,650']"
The Village Upper East Side,"['$2,075 - $4,310']"
The Villas of Remond,"['$889 - $1,290']"
The Vincent,"['$1,420 - $3,860']"
The Vista,"['$1,425 - $5,965' '$1,712 - $3,341']"
The Vista at Rayzor Ranch,"['$1,630 - $2,405']"
The Waverly,"['$1,021 - $1,621']"
The Way Apartments,['?']
The Whitney,['Call for Rent']
The Willows on Rosemeade,"['$929 - $1,770' '$1,350 - $1,750']"
The Woods at Five Mile Creek,"['$1,193 - $2,189']"
Three Fountains Apartments,"['$725 - $1,599']"
Tiburon,"['$1,205 - $1,850']"
Tides at Highland Meadows,"['$1,050 - $1,249']"
Tides at Lake Village,"['$1,065 - $1,139']"
Tides at Lakewood,"['?' '$1,200 - $1,500']"
Tides at Midtown,"['$1,000 - $2,425']"
Tides at North Dallas,"['$1,185 - $1,275']"
Tides at Park43,"['$1,485 - $1,985']"
Tides at Royal Lane North,"['$1,180 - $1,525' '$905 - $1,575']"
Tides at Valley Ranch,"['$1,745 - $2,209']"
Tides at Whispering Hills,"['$865 - $1,621']"
Tides on Esperanza,"['$743 - $1,268']"
Tides on Haverwood,"['$1,295 - $2,095']"
Tides on Larga,"['?' '$1,185 ']"
Tides on Lawler East,"['$1,215 ']"
Tides on Leisure,"['$1,025 - $1,490' '$1,104 - $1,699']"
Tides on McCallum North,"['$1,160 - $1,210']"
Tides on McCallum South,"['$1,195 ']"
Tides on Park Lane,"['?' '$915 - $1,515']"
Tides on Ranchview,"['$1,255 - $2,220']"
Tides on Rosemeade East,"['$1,025 - $1,355']"
Tides on Rosemeade West,"['$1,255 - $1,355']"
Tides on Timberglen,"['$1,970 - $3,250' '$1,145 - $1,405']"
Tides on Trinity,"['$1,245 - $2,090']"
Timber Rock,"['$1,260 - $1,365']"
Timberlinks At Denton,"['$1,143 - $2,796']"
Tivoli Apartments,"['$1,726 - $3,651' '$1,170 - $2,555']"
Tonti Lakeside,"['$1,825 - $2,695' '$1,406 - $3,167']"
Toscana Apartments,"['$1,025 - $1,880']"
Tower Village (C.H.A.M.),"['$1,000 - $1,650']"
Towne Square,"['$900 - $1,600']"
Trails of White Rock,"['?' '$1,189 - $2,249']"
Trend Design District,"['$1,280 - $3,378']"
Trinity Pines,"['$1,295 ']"
Trinity Village Apartments,"['$1,093 - $2,337']"
TwentyFive25,"['$1,246 - $1,458']"
UC Denton Student Housing,"['$599 - $1,469']"
University LOFT Apartments,"['$1,100 ']"
University Place,['$545 - $930']
Uptown @ Cole Park,"['$1,734 - $3,280']"
Uptown Trail,"['$1,725 - $5,525']"
Urban House,"['$1,228 - $1,947']"
Urban Square,"['$1,270 - $1,995']"
VERANDAH FLATS,"['$805 - $1,695']"
VILLA SORRENTO,"['$827 - $1,260']"
VV&M,"['$1,230 - $2,490']"
Vail Quarters,"['$1,115 - $3,235']"
Vail Village Apartments,"['$910 - $1,565']"
Vance at Bishop Union,"['$1,302 - $4,890']"
Vantage Point Apartments,"['$2,156 - $25,928' '$920 - $1,490']"
Ventana,"['$1,147 - $1,944']"
Verandah at Valley Ranch,"['$1,434 - $2,371']"
Verge,['Call for Rent']
Veridian Place,"['$1,124 - $1,984']"
Verlaine on the Parkway,"['$1,072 - $2,084']"
Via Las Colinas,"['$1,651 - $6,141']"
Victory Place,"['$1,506 - $6,020']"
Villa Piana Apartments,"['$1,575 - $2,960']"
Villa Vista,"['$1,395 - $1,845']"
Village On The Green,"['$1,475 - $2,545']"
Village at Rayzor Ranch,"['$1,250 - $2,599']"
Villas Del Rey,"['$915 - $1,175']"
Villas Del Tesoro Apartments,"['$957 - $1,455']"
Villas Del Zocalo 1,"['$970 - $1,660']"
Villas at Monterey,"['?' '$951 - $2,060']"
Vineyard Apartments,"['$900 - $1,150']"
Vista Buena Apartments,"['$925 - $1,415']"
Vistas At Pinnacle Park,"['$1,035 - $4,817']"
Vitae Residences,"['$823 - $1,251']"
Vitruvian West,"['$1,204 - $2,699']"
Volara Apartments,"['$800 - $1,300']"
Waterford @ Bellmar,"['$1,015 - $1,110']"
Waterford at Spencer Oaks,"['$1,092 - $1,450']"
WatersEdge Denton Apartments,"['$1,165 - $2,628']"
West Love,"['$1,260 - $3,690']"
West Mockingbird,"['$1,325 - $3,752']"
Westerly,"['$1,295 - $3,405']"
Wexler New (old),"['$850 - $1,699']"
Whitney Uptown,"['$1,640 - $4,545']"
Wilder,"['$1,285 - $2,140']"
Wildflower Apartments,['$730 - $915']
Wilshire On Mockingbird Apartments,['?']
Wimberly,"['$1,502 - $2,944']"
Windchase Apartments,"['$1,036 - $1,707']"
Windham Chase,"['$1,435 - $2,006']"
Windridge On The Parkway,"['$1,229 - $1,665']"
Windsor Fitzhugh,"['$1,675 - $7,367']"
Windsor on White Rock Lake,"['$1,425 - $3,403']"
Winsted at White Rock,"['$1,207 - $2,800']"
Woodglen Park Apartments,"['$1,024 - $1,405']"
Woodhill Apartments,"['$1,035 - $1,784']"
Woodlands of Denton,"['$1,370 - $2,000']"
Woodridge Apartments,"['$1,308 ']"
Woodside Flats,"['$710 - $1,524']"
Woodside Lane Apartments,"['$1,150 - $1,235']"
Wray North Dallas,"['$1,214 - $1,965']"
Wyndham on the Creek (new),"['$815 - $1,425']"
Yorktown Luxury Apartments,"['$1,268 - $2,719' '$699 - $1,505' '$699 - $1,505' '$1,268 - $2,719']"
Zang,"['$1,300 - $1,600']"
Zang Flats,"['$1,407 - $3,737']"
Zang Triangle,"['$1,231 - $2,849']"
Zeke Apartments,"['$1,090 - $2,210']"
